Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive
10,Kiwior,Arsenal,Defender,4.4,34,59,850,1,3,0.74,0.5700000000000001,5,8,4.970000000000001,0,1,233,6,65,0,0,0.03,1,0,0.71,0,0,20,Wolves,46,51,6,8
10,Kiwior,Arsenal,Defender,4.4,34,59,850,1,3,0.74,0.5700000000000001,5,8,4.970000000000001,0,1,233,6,65,0,0,0.03,1,0,0.71,0,0,20,Chelsea,61,52,17,9
12,Martinelli,Arsenal,Midfielder,7.8,34,111,1824,6,5,5.27,4.7299999999999995,10,20,12.98,0,6,372,4,76,0,0.1,0.25,0,2,1.25,0,0,16,Wolves,46,51,6,8
12,Martinelli,Arsenal,Midfielder,7.8,34,111,1824,6,5,5.27,4.7299999999999995,10,20,12.98,0,6,372,4,76,0,0.1,0.25,0,2,1.25,0,0,16,Chelsea,61,52,17,9
13,Nketiah,Arsenal,Forward,5.5,34,71,1065,5,4,4.65,0.5300000000000001,6,10,10.210000000000003,0,5,206,3,28,0,0.13,0.01,0,0,0.32,0,0,1,Wolves,46,51,6,8
13,Nketiah,Arsenal,Forward,5.5,34,71,1065,5,4,4.65,0.5300000000000001,6,10,10.210000000000003,0,5,206,3,28,0,0.13,0.01,0,0,0.32,0,0,1,Chelsea,61,52,17,9
14,Odegaard,Arsenal,Midfielder,8.5,34,148,2560,7,7,6.03,7.73,15,20,19.649999999999995,0,21,575,20,346,0,0.45999999999999996,0.84,4,0,2,0,3,69,Wolves,46,51,6,8
14,Odegaard,Arsenal,Midfielder,8.5,34,148,2560,7,7,6.03,7.73,15,20,19.649999999999995,0,21,575,20,346,0,0.45999999999999996,0.84,4,0,2,0,3,69,Chelsea,61,52,17,9
15,Thomas,Arsenal,Midfielder,4.8,34,13,366,0,0,0.07,0.35,2,2,2.98,0,0,82,4,90,0,0,0.1,1,0,0.33999999999999997,0,0,14,Wolves,46,51,6,8
15,Thomas,Arsenal,Midfielder,4.8,34,13,366,0,0,0.07,0.35,2,2,2.98,0,0,82,4,90,0,0,0.1,1,0,0.33999999999999997,0,0,14,Chelsea,61,52,17,9
17,Ramsdale,Arsenal,Goalkeeper,4.9,34,20,540,0,0,0,0.01,2,5,5.8100000000000005,9,0,90,0,0,0,0,0,0,0,0,0,0,0,Wolves,46,51,6,8
17,Ramsdale,Arsenal,Goalkeeper,4.9,34,20,540,0,0,0,0.01,2,5,5.8100000000000005,9,0,90,0,0,0,0,0,0,0,0,0,0,0,Chelsea,61,52,17,9
19,Saka,Arsenal,Midfielder,8.7,34,193,2495,14,10,13.060000000000002,9.59,12,25,20.54999999999999,0,25,668,15,230,0,1.53,0.51,2,2,2.26,0,2,44,Wolves,46,51,6,8
19,Saka,Arsenal,Midfielder,8.7,34,193,2495,14,10,13.060000000000002,9.59,12,25,20.54999999999999,0,25,668,15,230,0,1.53,0.51,2,2,2.26,0,2,44,Chelsea,61,52,17,9
20,Saliba,Arsenal,Defender,5.2,34,132,2880,2,1,1.54,0.8000000000000003,14,26,22.689999999999998,0,8,640,20,360,0,0,0.03,3,2,2.88,0,2,93,Wolves,46,51,6,8
20,Saliba,Arsenal,Defender,5.2,34,132,2880,2,1,1.54,0.8000000000000003,14,26,22.689999999999998,0,8,640,20,360,0,0,0.03,3,2,2.88,0,2,93,Chelsea,61,52,17,9
22,Smith Rowe,Arsenal,Midfielder,5.3,34,24,322,0,2,1.61,0.39,3,3,2.1000000000000005,0,0,72,7,95,1,0.26,0.04,1,2,0.83,0,0,25,Wolves,46,51,6,8
22,Smith Rowe,Arsenal,Midfielder,5.3,34,24,322,0,2,1.61,0.39,3,3,2.1000000000000005,0,0,72,7,95,1,0.26,0.04,1,2,0.83,0,0,25,Chelsea,61,52,17,9
25,Tomiyasu,Arsenal,Defender,4.5,34,42,709,1,1,0.53,0.45,3,7,8.540000000000001,0,3,161,3,81,0,0.05,0.04,0,2,1.29,0,0,14,Wolves,46,51,6,8
25,Tomiyasu,Arsenal,Defender,4.5,34,42,709,1,1,0.53,0.45,3,7,8.540000000000001,0,3,161,3,81,0,0.05,0.04,0,2,1.29,0,0,14,Chelsea,61,52,17,9
26,Trossard,Arsenal,Midfielder,6.6,34,100,1207,8,2,6.380000000000002,2.0400000000000005,7,9,9.24,0,8,280,13,200,0,1.02,0.16,2,0,1.06,0,0,42,Wolves,46,51,6,8
26,Trossard,Arsenal,Midfielder,6.6,34,100,1207,8,2,6.380000000000002,2.0400000000000005,7,9,9.24,0,8,280,13,200,0,1.02,0.16,2,0,1.06,0,0,42,Chelsea,61,52,17,9
29,White,Arsenal,Defender,5.5,34,141,2469,2,5,0.7900000000000001,3.03,14,23,19.319999999999997,0,11,632,22,336,0,0,0.17,4,0,2.15,0,0,89,Wolves,46,51,6,8
29,White,Arsenal,Defender,5.5,34,141,2469,2,5,0.7900000000000001,3.03,14,23,19.319999999999997,0,11,632,22,336,0,0,0.17,4,0,2.15,0,0,89,Chelsea,61,52,17,9
31,Zinchenko,Arsenal,Defender,4.9,34,102,1668,1,2,0.6000000000000001,2.59,9,15,12.29,0,16,453,16,230,0,0.11000000000000001,0.15,2,2,1.6099999999999999,0,3,71,Wolves,46,51,6,8
31,Zinchenko,Arsenal,Defender,4.9,34,102,1668,1,2,0.6000000000000001,2.59,9,15,12.29,0,16,453,16,230,0,0.11000000000000001,0.15,2,2,1.6099999999999999,0,3,71,Chelsea,61,52,17,9
113,Raya,Arsenal,Goalkeeper,4.8,34,105,2340,0,0,0,0.03,12,21,16.88,37,3,455,18,360,0,0,0.01,3,2,2.88,4,0,77,Wolves,46,51,6,8
113,Raya,Arsenal,Goalkeeper,4.8,34,105,2340,0,0,0,0.03,12,21,16.88,37,3,455,18,360,0,0,0.01,3,2,2.88,4,0,77,Chelsea,61,52,17,9
540,Rice,Arsenal,Midfielder,5.4,34,130,2685,6,5,2.38,3.7199999999999998,13,25,21.449999999999996,0,13,616,9,293,0,0.09,0.32,2,2,2.78,0,0,45,Wolves,46,51,6,8
540,Rice,Arsenal,Midfielder,5.4,34,130,2685,6,5,2.38,3.7199999999999998,13,25,21.449999999999996,0,13,616,9,293,0,0.09,0.32,2,2,2.78,0,0,45,Chelsea,61,52,17,9
585,J.Timber,Arsenal,Defender,4.7,34,0,49,0,0,0,0.01,0,0,0.28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Wolves,46,51,6,8
585,J.Timber,Arsenal,Defender,4.7,34,0,49,0,0,0,0.01,0,0,0.28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Chelsea,61,52,17,9
34,Bailey,AstonVilla,Midfielder,5.5,34,130,1723,9,10,5.129999999999999,6.05,5,26,29.31,0,8,424,17,326,1,0.66,0.47,1,5,6.08,0,0,62,Bournemouth,47,57,10,8
36,Cash,AstonVilla,Defender,4.7,34,58,1894,2,1,4.38,2.3099999999999996,3,32,31.2,0,4,309,1,45,0,0,0.02,0,0,0.79,0,0,4,Bournemouth,47,57,10,8
38,Coutinho,AstonVilla,Midfielder,5.8,34,2,24,0,0,0.15000000000000002,0.02,0,1,0.68,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Bournemouth,47,57,10,8
41,Diego Carlos,AstonVilla,Defender,4.4,34,50,1521,0,0,0.8999999999999999,0.3400000000000001,6,26,25.629999999999995,0,1,295,12,360,0,0.32,0.05,2,7,7.95,0,0,70,Bournemouth,47,57,10,8
