Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
157,Caicedo,Chelsea,Midfielder,4.9,6,14,435,0,1,0.13,0.62,2,5,5.64,0,0,82,14,435,1,0.13,0.62,2,5,5.64,0,0,82,Brighton,10,8,7,8,2
162,Colwill,Chelsea,Defender,4.6,6,16,450,0,0,0.18,0.48,2,5,5.76,0,1,80,16,450,0,0.18,0.48,2,5,5.76,0,1,80,Brighton,10,8,7,8,1
163,Cucurella,Chelsea,Defender,5,6,14,431,0,0,0,0.24,2,4,5.56,0,0,81,14,431,0,0,0.24,2,4,5.56,0,0,81,Brighton,10,8,7,8,0
166,Dewsbury-Hall,Chelsea,Midfielder,5.7,6,3,44,0,0,0,0.03,0,1,0.33999999999999997,0,0,9,3,44,0,0,0.03,0,1,0.33999999999999997,0,0,9,Brighton,10,8,7,8,0
167,Disasi,Chelsea,Defender,4.4,6,7,94,0,0,0,0,1,0,1.9,0,0,29,7,94,0,0,0,1,0,1.9,0,0,29,Brighton,10,8,7,8,0
168,Enzo,Chelsea,Midfielder,4.9,6,9,353,0,0,0.22,0.33,1,5,3.87,0,0,57,9,353,0,0.22,0.33,1,5,3.87,0,0,57,Brighton,10,8,7,8,1
171,Gusto,Chelsea,Defender,4.9,6,3,253,0,0,0.03,0.11,0,5,2.82,0,0,16,3,253,0,0.03,0.11,0,5,2.82,0,0,16,Brighton,10,8,7,8,1
174,Lavia,Chelsea,Midfielder,4.5,6,2,65,0,0,0,0.18,0,1,0.66,0,0,18,2,65,0,0,0.18,0,1,0.66,0,0,18,Brighton,10,8,7,8,1
177,Madueke,Chelsea,Midfielder,6.5,6,28,325,3,0,1.4,0.16,2,3,4.569999999999999,0,3,97,28,325,0,1.4,0.16,2,3,4.569999999999999,0,3,97,Brighton,10,8,7,8,5
178,Marc Guiu,Chelsea,Forward,4.9,6,1,24,0,0,0,0,0,1,0.11,0,0,2,1,24,0,0,0,0,1,0.11,0,0,2,Brighton,10,8,7,8,0
179,Mudryk,Chelsea,Midfielder,6.2,6,2,61,0,0,0,0.16,0,2,2.06,0,0,9,2,61,0,0,0.16,0,2,2.06,0,0,9,Brighton,10,8,7,8,1
180,N.Jackson,Chelsea,Forward,7.9,6,35,363,4,2,3.05,0.13999999999999999,2,4,5.0200000000000005,0,5,146,35,363,2,3.05,0.13999999999999999,2,4,5.0200000000000005,0,5,146,Brighton,10,8,7,8,5
181,Nkunku,Chelsea,Midfielder,6,6,11,105,1,0,1.04,0.14,0,1,1.47,0,1,44,11,105,0,1.04,0.14,0,1,1.47,0,1,44,Brighton,10,8,7,8,1
